Filename	n_sentences	n_tokens	tokens_per_sent	char_per_tok	upos_dist_ADJ	upos_dist_ADP	upos_dist_ADV	upos_dist_AUX	upos_dist_CCONJ	upos_dist_DET	upos_dist_NOUN	upos_dist_NUM	upos_dist_PRON	upos_dist_PROPN	upos_dist_PUNCT	upos_dist_SCONJ	upos_dist_SYM	upos_dist_VERB	upos_dist_X	lexical_density	verbal_head_per_sent	verbal_root_perc	avg_verb_edges	verb_edges_dist_0	verb_edges_dist_1	verb_edges_dist_2	verb_edges_dist_3	verb_edges_dist_4	verb_edges_dist_5	verb_edges_dist_6	avg_max_depth	avg_token_per_clause	avg_max_links_len	avg_links_len	max_links_len	avg_prepositional_chain_len	n_prepositional_chains	obj_pre	obj_post	subj_pre	subj_post	dep_dist_acl	dep_dist_advcl	dep_dist_advmod	dep_dist_amod	dep_dist_appos	dep_dist_aux	dep_dist_case	dep_dist_cc	dep_dist_ccomp	dep_dist_compound	dep_dist_conj	dep_dist_csubj	dep_dist_dep	dep_dist_det	dep_dist_dislocated	dep_dist_fixed	dep_dist_flat	dep_dist_nmod	dep_dist_nsubj	dep_dist_nummod	dep_dist_obj	dep_dist_obl	dep_dist_punct	dep_dist_root	dep_dist_xcomp	principal_proposition_dist	subordinate_proposition_dist	subordinate_post	subordinate_pre	avg_subordinate_chain_len	subordinate_dist_1	subordinate_dist_2
korean_clean_1.conllu	1	10	10.0	3.111111111111111	0	0	20.0	10.0	20.0	0	20.0	0	0	20.0	10.0	0	0	0	0	0.6666666666666666	0.0	100.0	0	0	0	0	0	0	0	0	4.0	0	6.0	2.125	6	0	0	100.0	0.0	0	0	0	20.0	0	0	0	0	0	0	0	10.0	20.0	0	0	0	0	0	0	20.0	0	0	10.0	0	10.0	10.0	0	100.0	0.0	0	0	0	0	0
korean_clean_2.conllu	1	21	21.0	2.6315789473684212	4.761904761904762	0	9.523809523809524	4.761904761904762	4.761904761904762	0	33.333333333333336	4.761904761904762	14.285714285714286	0	9.523809523809524	4.761904761904762	0	9.523809523809524	0	0.631578947368421	2.0	0.0	1.5	50.0	0	0	50.0	0	0	0	5.0	10.5	11.0	2.9444444444444446	11	0	0	100.0	0.0	100.0	0.0	4.761904761904762	4.761904761904762	9.523809523809524	0	0	9.523809523809524	0	0	0	0	14.285714285714286	0	0	0	14.285714285714286	0	0	9.523809523809524	4.761904761904762	4.761904761904762	9.523809523809524	0	9.523809523809524	4.761904761904762	0	0.0	100.0	50.0	50.0	1.0	100.0	0
korean_clean_3.conllu	1	13	13.0	2.8181818181818183	0	0	15.384615384615385	0	23.076923076923077	0	23.076923076923077	0	0	7.6923076923076925	15.384615384615385	7.6923076923076925	0	7.6923076923076925	0	0.6363636363636364	1.0	0.0	3.0	0	0	0	100.0	0	0	0	4.0	13.0	7.0	2.3	7	0	0	0	0	100.0	0.0	0	0	15.384615384615385	0	0	0	0	0	7.6923076923076925	7.6923076923076925	23.076923076923077	0	0	0	0	0	0	7.6923076923076925	7.6923076923076925	0	0	7.6923076923076925	15.384615384615385	7.6923076923076925	0	0	0	0	0	0	0	0
korean_clean_4.conllu	1	11	11.0	2.8	0	0	0	9.090909090909092	9.090909090909092	0	45.45454545454545	0	0	9.090909090909092	9.090909090909092	0	0	18.181818181818183	0	0.8	2.0	100.0	2.0	0	50.0	0	50.0	0	0	0	3.0	5.5	4.0	1.4444444444444444	4	0	0	0	0	100.0	0.0	0	0	0	0	0	18.181818181818183	0	0	0	9.090909090909092	9.090909090909092	0	0	0	18.181818181818183	0	0	18.181818181818183	9.090909090909092	0	0	0	9.090909090909092	9.090909090909092	0	100.0	0.0	0	0	0	0	0
korean_clean_5.conllu	1	10	10.0	3.2222222222222223	0	0	30.0	10.0	10.0	0	20.0	0	0	10.0	10.0	0	0	10.0	0	0.7777777777777778	1.0	100.0	4.0	0	0	0	0	100.0	0	0	3.0	10.0	7.0	2.75	7	0	0	0	0	0	0	10.0	30.0	0	0	0	0	0	0	0	10.0	10.0	0	0	0	10.0	0	0	10.0	0	0	0	0	10.0	10.0	0	100.0	0.0	0	0	0	0	0
korean_clean_6.conllu	1	28	28.0	2.84	10.714285714285714	0	25.0	0	7.142857142857143	3.5714285714285716	32.142857142857146	0	0	3.5714285714285716	10.714285714285714	3.5714285714285716	0	3.5714285714285716	0	0.84	1.0	100.0	0.0	0	0	0	0	0	0	0	3.0	28.0	20.0	5.25	20	0	0	100.0	0.0	0	0	0	17.857142857142858	7.142857142857143	7.142857142857143	0	3.5714285714285716	0	3.5714285714285716	3.5714285714285716	3.5714285714285716	7.142857142857143	0	0	3.5714285714285716	7.142857142857143	3.5714285714285716	0	10.714285714285714	0	0	7.142857142857143	0	10.714285714285714	3.5714285714285716	0	100.0	0.0	0	0	0	0	0
korean_clean_7.conllu	1	19	19.0	2.888888888888889	5.2631578947368425	0	5.2631578947368425	0	21.05263157894737	5.2631578947368425	31.57894736842105	0	0	5.2631578947368425	5.2631578947368425	5.2631578947368425	0	15.789473684210526	0	0.6666666666666666	3.0	100.0	2.3333333333333335	0	0	66.66666666666667	33.333333333333336	0	0	0	8.0	6.333333333333333	17.0	5.764705882352941	17	0	0	100.0	0.0	100.0	0.0	10.526315789473685	5.2631578947368425	5.2631578947368425	5.2631578947368425	0	0	0	10.526315789473685	0	5.2631578947368425	15.789473684210526	0	0	5.2631578947368425	5.2631578947368425	0	0	0	10.526315789473685	0	5.2631578947368425	0	5.2631578947368425	5.2631578947368425	5.2631578947368425	33.333333333333336	66.66666666666667	0.0	100.0	1.0	100.0	0
korean_clean_8.conllu	1	14	14.0	3.25	0	0	7.142857142857143	0	0	0	28.571428571428573	0	7.142857142857143	14.285714285714286	14.285714285714286	7.142857142857143	0	21.428571428571427	0	0.8333333333333334	3.0	100.0	2.0	0	66.66666666666667	0	0	33.333333333333336	0	0	7.0	4.666666666666667	6.0	1.9090909090909092	6	0	0	100.0	0.0	100.0	0.0	14.285714285714286	0	14.285714285714286	0	0	0	0	0	7.142857142857143	14.285714285714286	0	0	0	0	7.142857142857143	0	0	0	7.142857142857143	0	14.285714285714286	0	14.285714285714286	7.142857142857143	0	33.333333333333336	66.66666666666667	0.0	100.0	1.0	100.0	0
korean_clean_9.conllu	1	12	12.0	3.2222222222222223	0	0	0	0	25.0	0	33.333333333333336	0	0	8.333333333333334	25.0	0	0	8.333333333333334	0	0.6666666666666666	1.0	100.0	2.0	0	0	100.0	0	0	0	0	3.0	12.0	9.0	3.125	9	0	0	100.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	33.333333333333336	0	0	0	8.333333333333334	0	0	16.666666666666668	0	0	8.333333333333334	0	25.0	8.333333333333334	0	100.0	0.0	0	0	0	0	0
korean_clean_10.conllu	1	14	14.0	3.769230769230769	7.142857142857143	0	7.142857142857143	0	7.142857142857143	0	28.571428571428573	0	0	14.285714285714286	7.142857142857143	0	0	28.571428571428573	0	0.9230769230769231	4.0	100.0	1.5	25.0	25.0	25.0	25.0	0	0	0	6.0	3.5	11.0	2.8333333333333335	11	0	0	100.0	0.0	100.0	0.0	14.285714285714286	0	0	0	0	0	0	0	7.142857142857143	7.142857142857143	7.142857142857143	0	0	0	14.285714285714286	0	0	7.142857142857143	7.142857142857143	0	14.285714285714286	7.142857142857143	7.142857142857143	7.142857142857143	0	25.0	75.0	0.0	100.0	1.0	100.0	0
