Filename	n_sentences	n_tokens	tokens_per_sent	char_per_tok	upos_dist_ADJ	upos_dist_ADP	upos_dist_ADV	upos_dist_AUX	upos_dist_CCONJ	upos_dist_DET	upos_dist_NOUN	upos_dist_NUM	upos_dist_PRON	upos_dist_PROPN	upos_dist_PUNCT	upos_dist_SCONJ	upos_dist_VERB	upos_dist_X	lexical_density	verbs_tense_dist_Fut	verbs_tense_dist_Past	verbs_mood_dist_Imp	verbs_form_dist_Inf	verbs_form_dist_Part	aux_tense_dist_Fut	aux_tense_dist_Past	aux_form_dist_Inf	aux_form_dist_Part	verbal_head_per_sent	verbal_root_perc	avg_verb_edges	verb_edges_dist_0	verb_edges_dist_1	verb_edges_dist_2	verb_edges_dist_3	verb_edges_dist_4	verb_edges_dist_5	verb_edges_dist_6	avg_max_depth	avg_token_per_clause	avg_max_links_len	avg_links_len	max_links_len	avg_prepositional_chain_len	n_prepositional_chains	prep_dist_1	prep_dist_2	obj_pre	obj_post	subj_pre	subj_post	dep_dist_acl	dep_dist_acl:relcl	dep_dist_advcl	dep_dist_advmod	dep_dist_amod	dep_dist_appos	dep_dist_aux	dep_dist_case	dep_dist_case:acc	dep_dist_case:gen	dep_dist_cc	dep_dist_ccomp	dep_dist_compound:affix	dep_dist_compound:smixut	dep_dist_conj	dep_dist_cop	dep_dist_dep	dep_dist_det	dep_dist_det:def	dep_dist_fixed	dep_dist_flat:name	dep_dist_mark	dep_dist_mark:q	dep_dist_nmod	dep_dist_nmod:poss	dep_dist_nsubj	dep_dist_nsubj:cop	dep_dist_nummod	dep_dist_obj	dep_dist_obl	dep_dist_parataxis	dep_dist_punct	dep_dist_root	dep_dist_xcomp	principal_proposition_dist	subordinate_proposition_dist	subordinate_post	subordinate_pre	avg_subordinate_chain_len	subordinate_dist_1	subordinate_dist_2	subordinate_dist_3	subordinate_dist_4
hebrew_clean_48.conllu	1	35	35.0	4.206896551724138	2.857142857142857	17.142857142857142	8.571428571428571	0	2.857142857142857	2.857142857142857	34.285714285714285	2.857142857142857	2.857142857142857	0	17.142857142857142	0	8.571428571428571	0	0.6551724137931034	0	100.0	0	0	100.0	0	0	0	0	3.0	0.0	1.6666666666666667	33.333333333333336	0	33.333333333333336	33.333333333333336	0	0	0	9.0	11.666666666666666	9.0	2.0	9	0	0	0	0	0.0	100.0	0	0	0	0	0	8.571428571428571	2.857142857142857	2.857142857142857	0	5.714285714285714	2.857142857142857	8.571428571428571	2.857142857142857	0	0	17.142857142857142	2.857142857142857	0	0	0	2.857142857142857	0	0	0	0	8.571428571428571	8.571428571428571	0	0	0	2.857142857142857	2.857142857142857	0	17.142857142857142	2.857142857142857	0	0.0	100.0	100.0	0.0	1.0	100.0	0	0	0
hebrew_clean_49.conllu	1	29	29.0	3.8518518518518516	13.793103448275861	17.24137931034483	3.4482758620689653	0	0	10.344827586206897	24.137931034482758	3.4482758620689653	6.896551724137931	0	6.896551724137931	3.4482758620689653	10.344827586206897	0	0.5555555555555556	0	100.0	0	50.0	50.0	0	0	0	0	3.0	100.0	3.3333333333333335	0	0	33.333333333333336	0	66.66666666666667	0	0	6.0	9.666666666666666	10.0	2.3076923076923075	10	1.0	1	100.0	0	0.0	100.0	66.66666666666667	33.333333333333336	0	0	0	3.4482758620689653	13.793103448275861	0	0	10.344827586206897	3.4482758620689653	3.4482758620689653	0	3.4482758620689653	0	3.4482758620689653	0	0	3.4482758620689653	0	10.344827586206897	0	0	3.4482758620689653	0	3.4482758620689653	3.4482758620689653	10.344827586206897	0	3.4482758620689653	3.4482758620689653	6.896551724137931	0	6.896551724137931	3.4482758620689653	0	33.333333333333336	66.66666666666667	100.0	0.0	2.0	0	100.0	0	0
hebrew_clean_50.conllu	1	16	16.0	3.5714285714285716	0	18.75	6.25	6.25	0	0	31.25	6.25	0	6.25	12.5	6.25	6.25	0	0.5714285714285714	0	0	0	0	100.0	0	0	0	100.0	2.0	100.0	2.0	0	0	100.0	0	0	0	0	5.0	8.0	3.0	1.5384615384615385	3	0	0	0	0	0	0	100.0	0.0	0	6.25	0	6.25	0	0	0	6.25	0	12.5	0	0	0	6.25	0	6.25	0	0	0	0	0	6.25	0	0	12.5	0	6.25	6.25	0	6.25	0	12.5	6.25	0	50.0	50.0	100.0	0.0	1.0	100.0	0	0	0
hebrew_clean_51.conllu	1	18	18.0	3.823529411764706	16.666666666666668	11.11111111111111	11.11111111111111	0	0	0	27.77777777777778	0	5.555555555555555	0	5.555555555555555	0	22.22222222222222	0	0.8235294117647058	0	0	0	33.333333333333336	66.66666666666667	0	0	0	0	4.0	100.0	2.0	0	25.0	50.0	25.0	0	0	0	5.0	4.5	8.0	2.125	8	0	0	0	0	0.0	100.0	100.0	0.0	5.555555555555555	0	5.555555555555555	5.555555555555555	22.22222222222222	0	0	5.555555555555555	0	0	0	0	0	5.555555555555555	0	0	5.555555555555555	5.555555555555555	0	5.555555555555555	0	0	0	0	0	11.11111111111111	0	0	11.11111111111111	0	0	5.555555555555555	5.555555555555555	0	33.333333333333336	66.66666666666667	100.0	0.0	1.0	100.0	0	0	0
hebrew_clean_52.conllu	1	17	17.0	3.125	0	23.529411764705884	0	0	0	17.647058823529413	23.529411764705884	5.882352941176471	0	5.882352941176471	5.882352941176471	0	17.647058823529413	0	0.5	0	0	0	66.66666666666667	33.333333333333336	0	0	0	0	3.0	100.0	2.3333333333333335	0	0	66.66666666666667	33.333333333333336	0	0	0	3.0	5.666666666666667	6.0	2.066666666666667	6	0	0	0	0	0.0	100.0	100.0	0.0	0	0	5.882352941176471	0	5.882352941176471	0	0	11.764705882352942	5.882352941176471	5.882352941176471	0	0	0	11.764705882352942	0	0	0	0	17.647058823529413	0	0	0	0	5.882352941176471	0	5.882352941176471	0	0	5.882352941176471	5.882352941176471	0	5.882352941176471	5.882352941176471	0	33.333333333333336	66.66666666666667	100.0	0.0	1.0	100.0	0	0	0
hebrew_clean_53.conllu	1	18	18.0	3.25	5.555555555555555	5.555555555555555	16.666666666666668	5.555555555555555	5.555555555555555	11.11111111111111	11.11111111111111	11.11111111111111	5.555555555555555	5.555555555555555	11.11111111111111	0	5.555555555555555	0	0.5	0	0	0	0	100.0	0	100.0	0	0	1.0	100.0	5.0	0	0	0	0	0	100.0	0	3.0	18.0	14.0	2.8	14	0	0	0	0	0	0	100.0	0.0	0	0	0	16.666666666666668	5.555555555555555	0	0	5.555555555555555	0	0	5.555555555555555	0	0	5.555555555555555	5.555555555555555	5.555555555555555	5.555555555555555	0	11.11111111111111	0	0	0	0	0	0	11.11111111111111	0	0	0	5.555555555555555	0	11.11111111111111	5.555555555555555	0	100.0	0.0	0	0	0	0	0	0	0
hebrew_clean_54.conllu	1	34	34.0	3.787878787878788	5.882352941176471	17.647058823529413	11.764705882352942	5.882352941176471	2.9411764705882355	11.764705882352942	32.35294117647059	0	2.9411764705882355	0	2.9411764705882355	2.9411764705882355	2.9411764705882355	0	0.5454545454545454	0	0	0	100.0	0	0	0	0	100.0	1.0	100.0	2.0	0	0	100.0	0	0	0	0	7.0	34.0	12.0	2.28125	12	1.0	2	100.0	0	0.0	100.0	100.0	0.0	5.882352941176471	0	2.9411764705882355	11.764705882352942	5.882352941176471	0	0	14.705882352941176	0	2.9411764705882355	2.9411764705882355	0	0	5.882352941176471	2.9411764705882355	0	0	2.9411764705882355	8.823529411764707	0	0	2.9411764705882355	0	8.823529411764707	0	2.9411764705882355	0	0	5.882352941176471	5.882352941176471	0	2.9411764705882355	2.9411764705882355	0	50.0	50.0	100.0	0.0	1.0	100.0	0	0	0
hebrew_clean_55.conllu	1	38	38.0	3.4594594594594597	10.526315789473685	23.68421052631579	2.6315789473684212	2.6315789473684212	0	7.894736842105263	31.57894736842105	0	5.2631578947368425	2.6315789473684212	2.6315789473684212	5.2631578947368425	5.2631578947368425	0	0.5405405405405406	0	100.0	0	100.0	0	100.0	0	0	0	2.0	0.0	2.0	0	0	100.0	0	0	0	0	8.0	19.0	15.0	2.4722222222222223	15	1.0	3	100.0	0	0.0	100.0	0	0	0	5.2631578947368425	0	2.6315789473684212	10.526315789473685	0	2.6315789473684212	13.157894736842104	0	10.526315789473685	0	0	0	2.6315789473684212	0	0	0	0	7.894736842105263	5.2631578947368425	0	5.2631578947368425	0	13.157894736842104	7.894736842105263	0	0	0	2.6315789473684212	5.2631578947368425	0	2.6315789473684212	2.6315789473684212	0	0.0	100.0	100.0	0.0	1.0	100.0	0	0	0
hebrew_clean_56.conllu	1	18	18.0	3.75	0	16.666666666666668	5.555555555555555	5.555555555555555	0	11.11111111111111	27.77777777777778	0	5.555555555555555	0	11.11111111111111	0	16.666666666666668	0	0.5625	0	100.0	0	50.0	50.0	0	0	0	100.0	3.0	100.0	2.0	0	33.333333333333336	33.333333333333336	33.333333333333336	0	0	0	5.0	6.0	6.0	2.1333333333333333	6	0	0	0	0	0.0	100.0	0	0	0	0	0	11.11111111111111	5.555555555555555	0	0	16.666666666666668	0	0	0	0	0	5.555555555555555	0	0	0	5.555555555555555	11.11111111111111	0	0	0	0	0	0	0	0	0	5.555555555555555	16.666666666666668	0	11.11111111111111	5.555555555555555	5.555555555555555	50.0	50.0	100.0	0.0	1.0	100.0	0	0	0
hebrew_clean_57.conllu	1	20	20.0	2.9473684210526314	10.0	15.0	0	5.0	0	25.0	35.0	0	0	5.0	5.0	0	0	0	0.5263157894736842	0	0	0	0	0	0	100.0	0	0	1.0	100.0	0	0	0	0	0	0	0	0	5.0	20.0	5.0	1.8888888888888888	5	1.0	1	100.0	0	0	0	100.0	0.0	5.0	0	0	5.0	10.0	0	0	10.0	0	0	0	0	0	5.0	0	5.0	0	0	25.0	10.0	5.0	0	0	5.0	0	5.0	0	0	0	0	0	5.0	5.0	0	100.0	0.0	0	0	0	0	0	0	0
